id,street_number,unit,street_name,city,district,state,state_code,zip_code
1,35640,,RABBIT RUN ROAD,SOLDOTNA,,Alaska,AK,99669
2,436,,S   HENDERSON ROAD,FAIRBANKS,,Alaska,AK,99709
3,35795,,FORERUNNER STREET,SOLDOTNA,,Alaska,AK,99669
4,47182,,BASARGIN ROAD,HOMER,,Alaska,AK,99603
5,2101,,N N Gwene Ln Ln,WASILLA,Matanuska-Susitna Borough,Alaska,AK,
6,0,,CHAPEL HILL RD SW,DECATUR,,Alabama,AL,
7,119,,MARY LOVE DRIVE SW,DECATUR,,Alabama,AL,35603
8,1216,,BRANDYWINE LANE SE,DECATUR,,Alabama,AL,35601
9,6,UNIT G1,LAKEFRONT DR SW,Huntsville,,Alabama,AL,35824
10,455,,POWELL CHAPEL RD,FALKVILLE,,Alabama,AL,35622
11,1961,,Bailey Ln,Boone County,,Arkansas,AR,72611
12,200,UNIT O1,HAMILTON OAKS DR,HOT SPRINGS NATIONAL PARK,,Arkansas,AR,71913
13,400,Apt 4,E Gordon Ave,Harrison,,Arkansas,AR,72601
14,1831,,W   MITCHELL ST,FAYETTEVILLE,,Arkansas,AR,72701
15,116,SPC Q,RIDGEMONT WAY,HOT SPRINGS NATIONAL PARK,,Arkansas,AR,71901
16,155,12,North Colvin Street,Colorado City,Mohave County,Arizona,AZ,86021
17,13,,STAGE LN,Rio Rico,BACA FLOAT #3,Arizona,AZ,85648
18,2668,,Bear Mountain Loop,Bullhead City,Mohave County,Arizona,AZ,86442
19,3455,,South Desert Drive Avenue,Bisbee,Cochise County,Arizona,AZ,85603
20,1301,,East Verano Drive,Bullhead City,Mohave County,Arizona,AZ,86442
21,318,1,W VALERIO ST,SANTA BARBARA,,California,CA,93101
22,4415,,NORTHOAKS DR,VANDENBERG VILLAGE,,California,CA,93436
23,25629,,S Gold Ridge Dr,Unincorporated Alameda County,,California,CA,94552
24,11110,,TAHOE ST,AUBURN,,California,CA,95602
25,1376,12,CREEKSIDE DR,WALNUT CREEK,,California,CA,94596
26,955,,LITTLE TOPSY DR,CRIPPLE CREEK MTN ESTATES,TELLER COUNTY,Colorado,CO,80813
27,132,,N  INDUSTRIAL WAY,PUEBLO WEST,,Colorado,CO,81007
28,5204,,PASCADERO DR,PUEBLO,,Colorado,CO,81005
29,65,,WAHSATCH RD,TROUT HAVEN,TELLER COUNTY,Colorado,CO,80816
30,13778,0,GOVERNOR,Leadville,,Colorado,CO,
31,151,,BURNT PLAINS RD,MILFORD,,Connecticut,CT,
32,4,,FARMSTEAD LANE,AVON,HARTFORD,Connecticut,CT,
33,111,,VERMONT Ave,STRATFORD,,Connecticut,CT,
34,76,,CRESTWOOD Road,STRATFORD,,Connecticut,CT,
35,21,,SHELTER COVE RD,MILFORD,,Connecticut,CT,
36,802,,SILVER LAKE BLVD,Dover,,Delaware,DE,19904.0
37,17,,MADISON DR,NEWARK,,Delaware,DE,19711-
38,31574,302,WINTERBERRY PKWY,SELBYVILLE,,Delaware,DE,19975
39,2116,,CAROL DR,WILMINGTON,,Delaware,DE,19808.0
40,11291,,SEVENTH ST,BRIDGEVILLE,,Delaware,DE,19933
41,3190,,GORDON ST,ORANGE PARK,,Florida,FL,32073
42,3250,208,N PALM AIRE DR,POMPANO BEACH,,Florida,FL,330693820
43,7710,,N Central Ave,Tampa,,Florida,FL,33604
44,11350,,SW LEMON AVE AVE SW,ARCADIA,,Florida,FL,34269
45,2230,,SW ADDISON AVE AVE SW,ARCADIA,,Florida,FL,34266
46,774,,OLD NEWTON RD S,LAGRANGE,,Georgia,GA,30240
47,1212,,2ND AVE,WEST POINT,,Georgia,GA,31833
48,10030,,Anaheim Drive,Johns Creek,,Georgia,GA,30022
49,137,,MARTHA ST,LAGRANGE,,Georgia,GA,30240
50,3280,,Old Alabama Road,Johns Creek,,Georgia,GA,30022
51,65,,KAMALII PL,HAIKU,,Hawaii,HI,96708
52,956,,AKUMU ST,Kailua,,Hawaii,HI,96734
53,23,,UPU PL,KULA,,Hawaii,HI,96790
54,3479,,ALA ILIMA,Honolulu / Halsey Ter,,Hawaii,HI,96818
55,21,,OLIONA ST,MAKAWAO,,Hawaii,HI,96768
56,1910,1910 Knollwood Dr,Knollwood Dr,Marshalltown,Marshall,Iowa,IA,50158-3875
57,34435,34435 Fairview Bch,Fairview Bch,Ruthven,PaloAlto,Iowa,IA,51358-8564
58,4156,4156 560th Ave,560th Ave,Whittemore,PaloAlto,Iowa,IA,50598-8028
59,207,207 W Meadow Ln,W Meadow Ln,Marshalltown,Marshall,Iowa,IA,50158-5111
