id,street_number,unit,street_name,city,district,state,state_code,zip_code
60,111,111 N Superior St,N Superior St,Emmetsburg,PaloAlto,Iowa,IA,50536-1013
61,3,,Highway 3 N,Saint Maries,Benewah,Idaho,ID,83861
62,116,,S SCOTT ST,POST FALLS,,Idaho,ID,83854
63,2860,,W RIVERBEND AVE,POST FALLS,,Idaho,ID,83854
64,13802,,W PRAIRIE AVE,POST FALLS,,Idaho,ID,83854
65,740,,Lakewood AVE,Idaho Falls,,Idaho,ID,83401
66,1112,,11TH AVE,Rockford,,Illinois,IL,61104
67,1159,,W WILSON ST,BATAVIA,,Illinois,IL,60510
68,5213,,BROWNS BEACH RD,Rockford,,Illinois,IL,61103
69,642,,MARTENSON LANE,PRINCETON,,Illinois,IL,
70,3004,,PINE MEADOWS CIR,CARPENTERSVILLE,,Illinois,IL,60110
71,GARAGE,,HARMONY LN,LAFAYETTE,,Indiana,IN,47909
72,2611,,BRISTLECONE DR,WEST LAFAYETTE,,Indiana,IN,47906
73,9811,,WARREN PL,INDIANAPOLIS,MARION,Indiana,IN,46229
74,3461,,W CORD 1100  N,ALEXANDRIA,,Indiana,IN,46001
75,2222,,NEW JERSEY ST,INDIANAPOLIS,MARION,Indiana,IN,46205
76,511,,Augusta Way,Manhattan,,Kansas,KS,66502
77,1826,,Anderson Ave,Manhattan,,Kansas,KS,66502
78,724,,Shadowridge Cir,Manhattan,,Kansas,KS,66503
79,124,,N MCGINNIS,Rantoul,,Kansas,KS,66079
80,3186,,TEXAS RD,Ottawa,,Kansas,KS,66067
81,231,,GLEN LILY RD,BOWLING GREEN,,Kentucky,KY,42101
82,358,,RESERVOIR HILL RD,FALMOUTH,,Kentucky,KY,41040
83,162,,VANMETER RD,ROCKFIELD,,Kentucky,KY,42274
84,300,,WESTBROOK RD,BOWLING GREEN,,Kentucky,KY,42101
85,406,,NEWBY RD,RICHMOND,,Kentucky,KY,40475
86,6774,,LOWER ZACHARY RD,ZACHARY,,Louisiana,LA,70791
87,9522,,MAIN ST,ZACHARY,,Louisiana,LA,70791
88,3439,,PIPESTONE DR,BATON ROUGE,,Louisiana,LA,70814
89,16941,,WHISPERING PINES DR,GREENWELL SPRINGS,,Louisiana,LA,70739
90,62136,,SAWDUST RD,ROSELAND,TANGIPAHOA,Louisiana,LA,70456
91,89,89-6,WALNUT ST,NEWTONVILLE,,Massachusetts,MA,02460
92,37,,EDGE STREET,IPSWICH,ESSEX,Massachusetts,MA,01938
93,251,,Poquanticut Ave,Easton,,Massachusetts,MA,
94,14,611,Buswell St,BOSTON,,Massachusetts,MA,02215
95,28,2,Dwight St,BOSTON,,Massachusetts,MA,02118
96,3804,,UPSHUR STREET,BRENTWOOD,,Maryland,MD,20722
97,11402,,ISAAC Court,Unincorporated,Washington County,Maryland,MD,21742
98,127,APT 22,WILLOWDALE DR,FREDERICK,FREDERICK,Maryland,MD,21702
99,130,,MANCHESTER DR,RISING SUN,,Maryland,MD,
100,1204 C,,DANIELLE DR,FREDERICK,FREDERICK,Maryland,MD,21703
101,13,,Main St,Ashland,Aroostook,Maine,ME,04732
102,29,,Academy St,South Berwick,York,Maine,ME,03908
103,16,,W Branch St,Kingfield,Franklin,Maine,ME,04947
104,22,,Jeannette Ave,Lewiston,Androscoggin,Maine,ME,04240
105,46,,Crocker Ln,Saint Albans,Somerset,Maine,ME,04971
106,1052,,HAMILTON AVE NW,GRAND RAPIDS,,Michigan,MI,49504
107,161,,PIONEER CLUB RD SE,EAST GRAND RAPIDS,,Michigan,MI,49506
108,8407,,LAKESHORE RD,WORTH TOWNSHIP,Sanilac County,Michigan,MI,
109,6910,,BELFAST AVE SE,GRAND RAPIDS,,Michigan,MI,49508
110,2311,,WEALTHY ST SE,EAST GRAND RAPIDS,,Michigan,MI,49506
111,15993,,COUNTY RD 3,CYRUS,,Minnesota,MN,56323
112,15399,,SW AMELIA RD,GLENWOOD,,Minnesota,MN,56334
113,3074,,SAINT PAUL ROAD,OWATONNA,STEELE,Minnesota,MN,55060
114,1038,,46th Avenue South,Moorhead,,Minnesota,MN,56560
115,8169,,EAST HIGHWAY 30,BLOOMING PRAIRIE,STEELE,Minnesota,MN,55917
116,706,,VIRGINIA ST,JEFFERSON CITY,,Missouri,MO,65109
117,1912,,OAK CLIFF DR,COLUMBIA,,Missouri,MO,65203
118,9627,,ALBUQUERQUE TRL,FRENCH VILLAGE,,Missouri,MO,63036
119,800,,WILLIAMS CT,ASHLAND,,Missouri,MO,65010
120,345,,FREDRICKS LN,JEFFERSON CITY,,Missouri,MO,65101
121,503,,BOWIE DRIVE,OXFORD,LAFAYETTE COUNTY,Mississippi,MS,38655
122,2003,,JOHN COVE,OXFORD,LAFAYETTE COUNTY,Mississippi,MS,38655
123,1016,,SECOND UNION ROAD,COUNTY,CLAIBORNE COUNTY,Mississippi,MS,39175
124,119,125,CHESTNUT STREET,OXFORD,LAFAYETTE COUNTY,Mississippi,MS,38655
125,2007,,JOHN COVE,OXFORD,LAFAYETTE COUNTY,Mississippi,MS,38655
126,1023,,7th Avenue West,Kalispell,Flathead County,Montana,MT,
127,815,,E CLARK ST,Livingston,,Montana,MT,59047
128,67,,CLARK LN,Livingston,,Montana,MT,59047
129,115,,Blue Wing Street,Walkerville,Silver Bow County,Montana,MT,
130,2100,,North Fork Road,Big Sky,Gallatin County,Montana,MT,
131,601,,BATCHELOR RD,RICH,,North Carolina,NC,
132,1257,,BILL NOBLES   ROAD,CERRO GORDO,COLUMBUS,North Carolina,NC,28430
133,107,,SULLIVAN CT,GIBSONVILLE,ALAMANCE,North Carolina,NC,27249
134,1036,,CARDROSS ST,BURLINGTON,ALAMANCE,North Carolina,NC,27215
135,49,,SHADOW DR,WP,,North Carolina,NC,28327
136,3334,,HACKBERRY ST,BISMARCK,BURLEIGH COUNTY,North Dakota,ND,58503
137,837,,11TH ST E,DICKINSON,,North Dakota,ND,
138,524,,11 ST S,FARGO,,North Dakota,ND,58103
139,2115,,2 AVE E,WEST FARGO,,North Dakota,ND,58078
140,1916,,57 AVE S,FARGO,,North Dakota,ND,58104-7219
141,3701,TRLR 398,N 126th Plz,Omaha,,Nebraska,NE,68164
142,3511,,N 84th St,Omaha,,Nebraska,NE,68134
143,6576,,Evans St,Omaha,,Nebraska,NE,68104
144,31,,Mallard Beach Dr 20,ELWOOD,Gosper County,Nebraska,NE,
145,16568,,Birch Ave,Omaha,,Nebraska,NE,
146,30,,CHERUBS WAY,HAMPSTEAD,,New Hampshire,NH,
147,8,,PRESTON WAY,AUBURN,,New Hampshire,NH,
148,23,APT 1,CROSS ST,Jaffrey,Cheshire,New Hampshire,NH,
149,30,,HUNTING ROAD,AUBURN,,New Hampshire,NH,
150,26,,LOVELL ST,NASHUA,,New Hampshire,NH,
151,4,,Cardinal Rd,Vernon Township,,New Jersey,NJ,
152,17,,Parker Ave,Hopatcong Borough,,New Jersey,NJ,
153,42,,DUNCAN LN,ROCKAWAY,,New Jersey,NJ,07866
154,29,,Long Branch Avenue,Long Branch,,New Jersey,NJ,07740
155,10,,LOMURNO LN,MIDDLE TWP,,New Jersey,NJ,
156,5651,,BLOOMFIELD Hwy,FARMINGTON,,New Mexico,NM,87401
157,4631,,BARCELONA  Cir,FARMINGTON,,New Mexico,NM,87401
158,135,APT 301,DP RD,LOS ALAMOS,LOS ALAMOS,New Mexico,NM,87544
159,1403,,S BLUFFVIEW Ave,FARMINGTON,,New Mexico,NM,87401
160,1247,STE D-2,CENTRAL AVE,LOS ALAMOS,LOS ALAMOS,New Mexico,NM,87544
161,2590,,Frehner Ranch Rd,Dry Valley,,Nevada,NV,
162,1057,,COUNTRY LN,LAMOILLE,,Nevada,NV,89815
163,3002,1,WRONDEL WAY,RENO,WASHOE,Nevada,NV,89502
164,4788,,ARBOR RIDGE DR,RENO,WASHOE,Nevada,NV,89523
165,1860,,HILLBORO AVE,RENO,WASHOE,Nevada,NV,89512
166,19,,Harrison St,Kingston,,New York,NY,
167,6855,,TOWNLINE RD,WILLIAMSON,,New York,NY,14589
168,668,,State Route 55,Eldred,Sullivan,New York,NY,12732
169,7897,,N CENTENARY RD,SODUS,,New York,NY,14551
170,29,,Aspen Rd,Wurtsboro,Sullivan,New York,NY,12790
171,820,,EASTERN AVE,ASHLAND,ASD,Ohio,OH,
172,1388,,MILWAUKEE AVE,DEFIANCE,DEF,Ohio,OH,
173,329,,UNION ST,NAPOLEON,HEN,Ohio,OH,43545
174,2107,,SHAWNEE DR,DEFIANCE,DEF,Ohio,OH,
175,18170,,CO RD 424,DEFIANCE,HEN,Ohio,OH,43512
176,1108,,EAST DR,EDMOND,,Oklahoma,OK,73034
177,8791,,SOUTH 262ND EAST AVENUE,UNINCORPORATED,,Oklahoma,OK,74014
178,4717,,CLIPPER CROSSING,EDMOND,,Oklahoma,OK,73013
179,1436,,EAST ADMIRAL PLACE,TULSA,,Oklahoma,OK,74120
180,501,,SOUTHWEST 4TH STREET,MOORE,,Oklahoma,OK,73160
181,519,,KING AVE,Hines,,Oregon,OR,97738
182,464,,NORTHEAST BAKER DRIVE,GRANTS PASS,JOSEPHINE COUNTY,Oregon,OR,97526
183,753,,WALNUT ST,LEBANON,,Oregon,OR,97355
184,108,,TANBARK RD,BROOKINGS,,Oregon,OR,97415
185,910,,SUNFLOWER LN,LEBANON,,Oregon,OR,97355
186,205,,LANSFORD CT,SUMMIT HILL,,Pennsylvania,PA,18250
187,247,,Chase Avenue,HALLSTEAD,Susquehanna County,Pennsylvania,PA,18822
188,79,,Rachel DR,Chambersburg,FRANKLIN,Pennsylvania,PA,17201
189,39,,Whitetail Trail,Loganton Borough,Clinton County,Pennsylvania,PA,
190,911,,Orchard DR,Chambersburg,FRANKLIN,Pennsylvania,PA,17201
191,46,,WINTER AV,WARWICK,,Rhode Island,RI,02889
192,144,,WOODBURY ST,PROVIDENCE,,Rhode Island,RI,02906
193,390,,CENTRAL AV,JOHNSTON,,Rhode Island,RI,02919
194,134,,AUBIN ST,WOONSOCKET,,Rhode Island,RI,02895
195,380,,BROADWAY ST,NEWPORT,,Rhode Island,RI,02840
196,1082,,BLOCKADE RUNNER PKWY,COUNTY,,South Carolina,SC,
197,107,,CROWLEY,CHERAW,,South Carolina,SC,29520
198,6926,,INDIAN MOUND RD,WATERLOO,,South Carolina,SC,
199,1203,,RIDGE RD,COUNTY,,South Carolina,SC,
200,116,,NEWINGTON RD,COUNTY,,South Carolina,SC,
201,405,,RIVER EST,PIERRE,SULLY COUNTY,South Dakota,SD,57501
202,55918,,898TH RD,FORDYCE,YANKTON COUNTY,South Dakota,SD,
203,625,,WEST PRAIRIE PL,PIERRE,SULLY COUNTY,South Dakota,SD,57501
204,27635,,PIKE HAVEN PL,PIERRE,SULLY COUNTY,South Dakota,SD,57501
205,202,,PINE ST,AGAR,SULLY COUNTY,South Dakota,SD,57520
206,3133,,SHAYLIN XING,MURFREESBORO,RUTHERFORD,Tennessee,TN,37128
207,5104,,GREER STATION DR,HERMITAGE,,Tennessee,TN,37076
208,542,,CEDAR DR,NASHVILLE,,Tennessee,TN,37211
209,602,,E  BURTON ST,MURFREESBORO,RUTHERFORD,Tennessee,TN,37130
210,323,,CARTER TRL,SPRING HILL,MAURY,Tennessee,TN,37174
211,327,,E   BOLING HWY,WHARTON,,Texas,TX,77488
212,408,,SOUTHEAST   1ST STREET,LAMESA,,Texas,TX,
213,402,,2ND STREET,ACKERLY,,Texas,TX,
214,106,,NORTH AVENUE  S,LAMESA,,Texas,TX,
215,773,,COUNTY ROAD 439,LA WARD,,Texas,TX,77970
216,3294,,S TIGER HERON DR,SARATOGA SPRINGS,,Utah,UT,84045
217,2559,,N REDWOOD RD,SARATOGA SPRINGS,,Utah,UT,84045
218,578,,E 1250 S,GARLAND,,Utah,UT,84312
219,845,TRLR 13,W 8700 S,SOUTH WILLARD,,Utah,UT,84340
220,619,,S BALANCING ROCK DR,WASHINGTON,,Utah,UT,84780
221,102,,POINT O WOODS RD,Williamsburg,,Virginia,VA,23188
222,302,,WOODLAWN CIR,Lynchburg,,Virginia,VA,24502
223,160,,BANNER ST,DANVILLE,,Virginia,VA,24541
224,177,,LOW CIR,Lynchburg,,Virginia,VA,24502
225,319,,E PENNSYLVANIA AVE,CREWE,,Virginia,VA,23930
226,690,,IRA BIRDSEYE RD,IRA,RUTLAND,Vermont,VT,05735
227,1610,,LITTLE CHICAGO RD,FERRISBURGH,ADDISON,Vermont,VT,05456
228,206,,MELROSE ST,BRATTLEBORO,WINDHAM,Vermont,VT,05301
229,206,,THE LANE,STAMFORD,BENNINGTON,Vermont,VT,05352
230,290,,DEPOT ST,CHESTER,WINDSOR,Vermont,VT,05143
231,11915,,Rd 1.1 NE,Moses Lake,,Washington,WA,98837
232,9557,,Goodrich Rd SE,Moses Lake,,Washington,WA,98837
233,9063,,SEA MIST LN,Blaine,,Washington,WA,
234,522,,WEST Court,DAYTON,,Washington,WA,99328
235,109,,Royal Ave NW,Royal City,,Washington,WA,99357
236,126,12,N CENTER AVE,JEFFERSON,,Wisconsin,WI,53549
237,1704,,TUMBLEWEED CIR,WEST BEND,,Wisconsin,WI,53095
238,118,,WILLOW LN,WEST BEND,,Wisconsin,WI,53095
239,720,,STONEY CREEK CT,WEST BEND,,Wisconsin,WI,53095
240,1726,,CLOVERVIEW ST,WEST BEND,,Wisconsin,WI,53095
241,14,,MULBERRY ST,PHILIPPI,,West Virginia,WV,26416
242,344,,HARLESS FRK,BRANCHLAND,,West Virginia,WV,25506
243,434,,VETERANS MEMORIAL HWY,RIDGELEY,,West Virginia,WV,26753
244,543,,SCENIC LN,RIDGELEY,,West Virginia,WV,26753
245,61,,MOUNTAINEER RD,MOATSVILLE,,West Virginia,WV,26405
246,8,,WILD CAT CT,GILLETTE,,Wyoming,WY,82716
247,2218,Unt 3,COLLINS RD,GILLETTE,,Wyoming,WY,82716
248,141,,ASPEN CIRCLE,TORRINGTON,,Wyoming,WY,
249,6828,,ROAD 47,TORRINGTON,,Wyoming,WY,
250,1634,,MARTIN AVE,SHERIDAN,,Wyoming,WY,82801
